External_Case_ID__c,Player_ID__c,Controller_Serial__c,Subject,Description,Status,Type,Origin
CASE-000001,PLAYER692,ZCT1W-N4391499,Controller not charging,Synthetic support record for PLAYER692: Controller not charging.,Closed,Technical,Email
CASE-000002,PLAYER970,ZCT2E-W9718383,Input lag noticed,Synthetic support record for PLAYER970: Input lag noticed.,Closed,Technical,Email
CASE-000003,PLAYER233,ZCT2E-A2923507,Intermittent disconnects,Synthetic support record for PLAYER233: Intermittent disconnects.,New,Technical,Email
CASE-000004,PLAYER514,ZCT2E-W4017812,Right stick drift concern,Synthetic support record for PLAYER514: Right stick drift concern.,Closed,Technical,Phone
CASE-000005,PLAYER912,ZCT1W-U7933281,Intermittent disconnects,Synthetic support record for PLAYER912: Intermittent disconnects.,Closed,Technical,Email
CASE-000006,PLAYER169,ZCT1W-K3709058,Input lag noticed,Synthetic support record for PLAYER169: Input lag noticed.,Closed,Technical,Web
CASE-000007,PLAYER921,ZCT2E-V4770193,Trigger feels loose,Synthetic support record for PLAYER921: Trigger feels loose.,Closed,Technical,Web
CASE-000008,PLAYER382,ZCT1W-V8924368,Intermittent disconnects,Synthetic support record for PLAYER382: Intermittent disconnects.,Closed,Technical,Web
CASE-000009,PLAYER894,ZCT2E-X7761231,Controller not charging,Synthetic support record for PLAYER894: Controller not charging.,New,Technical,Email
CASE-000010,PLAYER651,ZCT1W-R9267840,Controller not charging,Synthetic support record for PLAYER651: Controller not charging.,New,Technical,Email
CASE-000011,PLAYER030,ZCT1W-D6456436,Right stick drift concern,Synthetic support record for PLAYER030: Right stick drift concern.,Closed,Technical,Web
CASE-000012,PLAYER111,ZCT2E-L2396638,Trigger feels loose,Synthetic support record for PLAYER111: Trigger feels loose.,Closed,Technical,Phone
CASE-000013,PLAYER716,ZCT2E-E6759540,Intermittent disconnects,Synthetic support record for PLAYER716: Intermittent disconnects.,Closed,Technical,Phone
CASE-000014,PLAYER769,ZCT2E-E8889191,Right stick drift concern,Synthetic support record for PLAYER769: Right stick drift concern.,New,Technical,Email
CASE-000015,PLAYER133,ZCT2E-X7192680,Intermittent disconnects,Synthetic support record for PLAYER133: Intermittent disconnects.,New,Technical,Phone
CASE-000016,PLAYER458,ZCT2E-V3624846,Right stick drift concern,Synthetic support record for PLAYER458: Right stick drift concern.,Closed,Technical,Web
CASE-000017,PLAYER412,ZCT1W-U7311740,Controller not charging,Synthetic support record for PLAYER412: Controller not charging.,New,Technical,Phone
CASE-000018,PLAYER739,ZCT2E-G2951710,Controller not charging,Synthetic support record for PLAYER739: Controller not charging.,New,Technical,Web
CASE-000019,PLAYER030,ZCT1W-D6456436,Right stick drift concern,Synthetic support record for PLAYER030: Right stick drift concern.,New,Technical,Email
CASE-000020,PLAYER978,ZCT2E-N8270949,Right stick drift concern,Synthetic support record for PLAYER978: Right stick drift concern.,Closed,Technical,Phone
CASE-000021,PLAYER109,ZCT1W-J3230889,Trigger feels loose,Synthetic support record for PLAYER109: Trigger feels loose.,Closed,Technical,Phone
CASE-000022,PLAYER227,ZCT2E-Q9318172,Right stick drift concern,Synthetic support record for PLAYER227: Right stick drift concern.,Closed,Technical,Web
CASE-000023,PLAYER477,ZCT1W-B7199749,Trigger feels loose,Synthetic support record for PLAYER477: Trigger feels loose.,New,Technical,Web
CASE-000024,PLAYER053,ZCT1W-X3120109,Intermittent disconnects,Synthetic support record for PLAYER053: Intermittent disconnects.,Closed,Technical,Email
CASE-000025,PLAYER912,ZCT1W-U7933281,Input lag noticed,Synthetic support record for PLAYER912: Input lag noticed.,New,Technical,Web
CASE-000026,PLAYER213,ZCT2E-A3190232,Input lag noticed,Synthetic support record for PLAYER213: Input lag noticed.,New,Technical,Web
