# Snowflake candidate: gameplay_engagement
# Dataset type: high-volume behavioral / engagement time-series
# Rationale: Gameplay engagement is produced by every active PS5 session across all Sony titles.
#            At scale this is billions of events per day. It is not appropriate to store in Salesforce.
#            In production this lives in Snowflake as the PS5_ENGAGEMENT schema. Data Cloud ingests
#            weekly rollups via zero-copy connector and maps to the Engagement Profile DMO.
#            Agentforce uses this to personalize Marcus's offer copy with activity-aware language.
# Table name (Snowflake): PS5_ENGAGEMENT.PLAYER.WEEKLY_ROLLUPS
# Partition key: period_start (weekly)
# Primary key: engagement_id
engagement_id,player_id,psn_handle,period_start,period_end,session_count,total_hours_played,avg_session_minutes,longest_session_minutes,titles_played,unique_genres,top_genre,top_title_category,top_title_id,trophies_earned,trophies_platinum,trophies_gold,trophies_silver,ps_store_visits,ps_store_purchases,wishlist_adds,share_events,friend_activity_events,ps_plus_content_accessed,party_sessions,voice_chat_minutes,region,platform_version,ingested_at
ENG-SF-001-001,PLAYER001,sarahj_plays,2024-04-08,2024-04-14,4,8.2,123,178,2,2,Action-Adventure,First Party,GOD_OF_WAR_RAGNAROK,3,0,1,2,1,0,0,0,2,1,0,0,US,1.06,2024-04-15T02:00:00Z
ENG-SF-001-002,PLAYER001,sarahj_plays,2024-04-15,2024-04-21,5,9.5,114,162,2,2,Action-Adventure,First Party,GOD_OF_WAR_RAGNAROK,4,0,2,2,1,0,0,1,3,1,0,0,US,1.06,2024-04-22T02:00:00Z
ENG-SF-001-003,PLAYER001,sarahj_plays,2024-04-22,2024-04-28,4,8.8,132,190,3,2,Action-Adventure,First Party,GOD_OF_WAR_RAGNAROK,3,0,1,2,0,0,0,0,2,1,0,0,US,1.06,2024-04-29T02:00:00Z
ENG-SF-001-004,PLAYER001,sarahj_plays,2024-04-29,2024-05-05,5,10.1,121,175,2,2,Action-Adventure,First Party,SPIDER_MAN_MM,4,0,2,2,1,0,1,1,3,2,0,0,US,1.06,2024-05-06T02:00:00Z
ENG-SF-001-005,PLAYER001,sarahj_plays,2024-05-06,2024-05-12,4,8.5,128,188,2,1,Action-Adventure,First Party,SPIDER_MAN_MM,2,0,1,1,1,0,0,0,2,1,0,0,US,1.06,2024-05-13T02:00:00Z
ENG-SF-001-006,PLAYER001,sarahj_plays,2024-05-13,2024-05-19,5,9.8,118,171,2,2,Action-Adventure,First Party,SPIDER_MAN_MM,3,0,1,2,0,0,0,1,2,1,0,0,US,1.06,2024-05-20T02:00:00Z
ENG-SF-001-007,PLAYER001,sarahj_plays,2024-05-20,2024-05-26,4,8.4,126,185,2,1,Action-Adventure,First Party,ASTRO_BOT,3,0,1,2,1,0,0,0,2,1,0,0,US,1.06,2024-05-27T02:00:00Z
ENG-SF-001-008,PLAYER001,sarahj_plays,2024-05-27,2024-06-02,4,8.2,123,180,2,1,Action-Adventure,First Party,ASTRO_BOT,2,0,1,1,1,0,0,0,3,1,0,0,US,1.06,2024-06-03T02:00:00Z
ENG-SF-001-009,PLAYER001,sarahj_plays,2024-06-03,2024-06-09,3,5.9,118,165,1,1,Action-Adventure,First Party,ASTRO_BOT,2,0,0,2,1,0,0,0,1,0,0,0,US,1.06,2024-06-10T02:00:00Z
ENG-SF-002-001,PLAYER002,marcus_chen84,2024-04-08,2024-04-14,7,22.4,192,310,3,2,Action-RPG,First Party,GOD_OF_WAR_RAGNAROK,11,1,4,6,3,1,2,4,6,2,2,120,US,1.06,2024-04-15T02:00:00Z
ENG-SF-002-002,PLAYER002,marcus_chen84,2024-04-15,2024-04-21,8,24.1,181,298,3,2,Action-RPG,First Party,GOD_OF_WAR_RAGNAROK,12,0,5,7,2,0,1,3,5,2,3,145,US,1.06,2024-04-22T02:00:00Z
ENG-SF-002-003,PLAYER002,marcus_chen84,2024-04-22,2024-04-28,7,21.8,187,302,4,3,Action-RPG,First Party,FINAL_FANTASY_XVI,10,1,3,6,4,2,3,5,7,3,2,110,US,1.06,2024-04-29T02:00:00Z
ENG-SF-002-004,PLAYER002,marcus_chen84,2024-04-29,2024-05-05,8,25.2,189,315,3,2,Action-RPG,First Party,FINAL_FANTASY_XVI,13,0,5,8,3,1,2,4,6,2,3,155,US,1.06,2024-05-06T02:00:00Z
ENG-SF-002-005,PLAYER002,marcus_chen84,2024-05-06,2024-05-12,7,22.9,196,320,3,2,Action-RPG,First Party,FINAL_FANTASY_XVI,11,1,4,6,3,1,2,5,6,2,2,130,US,1.06,2024-05-13T02:00:00Z
ENG-SF-002-006,PLAYER002,marcus_chen84,2024-05-13,2024-05-19,8,24.5,184,305,4,2,Action-RPG,First Party,FINAL_FANTASY_XVI,12,0,4,8,4,2,3,4,7,3,3,148,US,1.06,2024-05-20T02:00:00Z
ENG-SF-002-007,PLAYER002,marcus_chen84,2024-05-20,2024-05-26,7,23.2,199,330,3,2,Action-RPG,First Party,SPIDER_MAN_MM,11,1,4,6,3,1,1,4,5,2,2,138,US,1.06,2024-05-27T02:00:00Z
ENG-SF-002-008,PLAYER002,marcus_chen84,2024-05-27,2024-06-02,8,25.8,194,318,4,3,Action-RPG,First Party,SPIDER_MAN_MM,13,0,5,8,4,2,4,6,8,3,4,160,US,1.06,2024-06-03T02:00:00Z
ENG-SF-002-009,PLAYER002,marcus_chen84,2024-06-03,2024-06-09,6,18.2,182,290,3,2,Action-RPG,First Party,ASTRO_BOT,10,1,3,6,2,1,2,3,5,2,2,108,US,1.06,2024-06-10T02:00:00Z
ENG-SF-003-001,PLAYER003,nina_streams,2024-04-08,2024-04-14,2,4.1,123,158,2,2,Puzzle,Indie,ASTRO_BOT,2,0,1,1,0,0,0,0,1,0,0,0,US,1.06,2024-04-15T02:00:00Z
ENG-SF-003-002,PLAYER003,nina_streams,2024-04-15,2024-04-21,3,5.8,116,142,2,2,Puzzle,Indie,ASTRO_BOT,2,0,0,2,1,0,0,0,1,1,0,0,US,1.06,2024-04-22T02:00:00Z
ENG-SF-003-003,PLAYER003,nina_streams,2024-04-22,2024-04-28,2,4.4,132,170,1,1,Puzzle,Indie,RETURNAL,1,0,0,1,0,0,0,0,0,0,0,0,US,1.06,2024-04-29T02:00:00Z
ENG-SF-003-004,PLAYER003,nina_streams,2024-04-29,2024-05-05,3,5.2,104,140,2,2,Puzzle,Indie,RETURNAL,2,0,1,1,0,0,0,0,1,1,0,0,US,1.06,2024-05-06T02:00:00Z
ENG-SF-003-005,PLAYER003,nina_streams,2024-05-06,2024-05-12,2,4.3,129,162,1,1,Puzzle,Indie,RETURNAL,1,0,0,1,0,0,0,0,1,0,0,0,US,1.06,2024-05-13T02:00:00Z
ENG-SF-003-006,PLAYER003,nina_streams,2024-05-13,2024-05-19,3,5.9,118,155,2,1,Puzzle,Indie,ASTRO_BOT,2,0,1,1,1,0,1,0,1,1,0,0,US,1.06,2024-05-20T02:00:00Z
ENG-SF-003-007,PLAYER003,nina_streams,2024-05-20,2024-05-26,2,4.8,144,180,1,1,Puzzle,Indie,ASTRO_BOT,1,0,0,1,0,0,0,0,0,0,0,0,US,1.06,2024-05-27T02:00:00Z
ENG-SF-003-008,PLAYER003,nina_streams,2024-05-27,2024-06-02,3,5.6,112,148,2,2,Puzzle,Indie,ASTRO_BOT,2,0,0,2,0,0,0,1,1,0,0,0,US,1.06,2024-06-03T02:00:00Z
ENG-SF-003-009,PLAYER003,nina_streams,2024-06-03,2024-06-09,2,3.8,114,145,1,1,Puzzle,Indie,ASTRO_BOT,1,0,0,1,0,0,0,0,1,0,0,0,US,1.06,2024-06-10T02:00:00Z
ENG-SF-004-001,PLAYER004,alex_edge,2024-04-08,2024-04-14,4,12.1,182,245,2,1,Fighting,First Party,TEKKEN_8,8,1,3,4,2,1,1,3,4,1,2,60,US,1.06,2024-04-15T02:00:00Z
ENG-SF-004-002,PLAYER004,alex_edge,2024-04-15,2024-04-21,5,13.8,166,228,2,1,Fighting,First Party,TEKKEN_8,9,0,3,6,2,0,1,2,4,1,2,72,US,1.06,2024-04-22T02:00:00Z
ENG-SF-004-003,PLAYER004,alex_edge,2024-04-22,2024-04-28,4,11.5,173,240,3,2,Fighting,First Party,TEKKEN_8,7,1,2,4,1,0,0,2,3,1,1,55,US,1.06,2024-04-29T02:00:00Z
ENG-SF-004-004,PLAYER004,alex_edge,2024-04-29,2024-05-05,5,14.2,170,232,2,1,Fighting,First Party,TEKKEN_8,9,0,3,6,2,1,2,3,5,1,2,80,US,1.06,2024-05-06T02:00:00Z
ENG-SF-004-005,PLAYER004,alex_edge,2024-05-06,2024-05-12,4,12.4,186,255,2,1,Fighting,First Party,MORTAL_KOMBAT_1,8,1,3,4,2,1,1,2,4,1,1,65,US,1.06,2024-05-13T02:00:00Z
ENG-SF-004-006,PLAYER004,alex_edge,2024-05-13,2024-05-19,5,13.5,162,220,2,1,Fighting,First Party,MORTAL_KOMBAT_1,9,0,4,5,3,1,2,4,5,1,2,78,US,1.06,2024-05-20T02:00:00Z
ENG-SF-004-007,PLAYER004,alex_edge,2024-05-20,2024-05-26,4,11.8,177,245,2,1,Fighting,First Party,MORTAL_KOMBAT_1,7,1,2,4,2,0,1,2,3,1,1,58,US,1.06,2024-05-27T02:00:00Z
ENG-SF-004-008,PLAYER004,alex_edge,2024-05-27,2024-06-02,5,14.5,174,238,3,2,Fighting,First Party,MORTAL_KOMBAT_1,10,0,4,6,2,1,2,4,5,1,2,85,US,1.06,2024-06-03T02:00:00Z
