# Snowflake candidate: controller_telemetry_events
# Dataset type: high-volume time-series telemetry
# Rationale: This dataset grows at ~1 row per controller per day per player, producing millions of rows
#            at scale across Sony's full player base. It is not appropriate to load into Salesforce Core.
#            In production, this table lives in Snowflake. Data Cloud ingests it via zero-copy connector
#            or external table, then aggregates into Controller Health Profile DMO.
# Table name (Snowflake): PS5_TELEMETRY.CONTROLLER.HEALTH_SIGNALS
# Partition key: signal_timestamp (daily)
# Primary key: telemetry_event_id
telemetry_event_id,player_id,psn_handle,controller_serial,controller_model,signal_timestamp,right_stick_drift_score,left_stick_drift_score,disconnect_frequency_score,battery_health_pct,session_hours_l7d,session_hours_l30d,cumulative_session_hours,button_events_l7d,haptic_events_l7d,trigger_events_l7d,firmware_version,firmware_latest,update_available,issue_confidence,raw_signal_source,region,ingested_at
TEL-SF-001-001,PLAYER001,sarahj_plays,ZCT1W-0A1B2C3D,DualSense,2024-04-14T08:00:00Z,0.42,0.08,0.04,97,12.1,48.0,312.5,18440,3690,5510,2.94,3.02,true,LOW,device_telemetry_api,US,2024-04-14T09:00:00Z
TEL-SF-001-002,PLAYER001,sarahj_plays,ZCT1W-0A1B2C3D,DualSense,2024-04-21T08:00:00Z,0.51,0.09,0.04,96,13.2,50.5,325.7,20108,4024,6001,3.02,3.02,false,LOW,device_telemetry_api,US,2024-04-21T09:00:00Z
TEL-SF-001-003,PLAYER001,sarahj_plays,ZCT1W-0A1B2C3D,DualSense,2024-04-28T08:00:00Z,0.58,0.09,0.05,96,14.0,52.2,339.7,21320,4268,6381,3.02,3.02,false,MEDIUM,device_telemetry_api,US,2024-04-28T09:00:00Z
TEL-SF-001-004,PLAYER001,sarahj_plays,ZCT1W-0A1B2C3D,DualSense,2024-05-05T08:00:00Z,0.65,0.10,0.05,95,14.8,54.0,354.5,22600,4524,6761,3.02,3.02,false,MEDIUM,device_telemetry_api,US,2024-05-05T09:00:00Z
TEL-SF-001-005,PLAYER001,sarahj_plays,ZCT1W-0A1B2C3D,DualSense,2024-05-12T08:00:00Z,0.74,0.10,0.06,93,15.4,58.0,372.5,23499,4703,7023,3.02,3.02,false,MEDIUM,device_telemetry_api,US,2024-05-12T09:00:00Z
TEL-SF-001-006,PLAYER001,sarahj_plays,ZCT1W-0A1B2C3D,DualSense,2024-05-19T08:00:00Z,0.81,0.11,0.07,91,15.9,61.0,387.9,24211,4846,7240,3.02,3.02,false,HIGH,device_telemetry_api,US,2024-05-19T09:00:00Z
TEL-SF-001-007,PLAYER001,sarahj_plays,ZCT1W-0A1B2C3D,DualSense,2024-05-26T08:00:00Z,0.87,0.12,0.07,89,15.8,63.0,402.9,24089,4820,7199,3.02,3.02,false,HIGH,device_telemetry_api,US,2024-05-26T09:00:00Z
TEL-SF-001-008,PLAYER001,sarahj_plays,ZCT1W-0A1B2C3D,DualSense,2024-06-02T08:00:00Z,0.91,0.12,0.08,88,15.6,64.0,418.5,23811,4766,7120,3.02,3.02,false,HIGH,device_telemetry_api,US,2024-06-02T09:00:00Z
TEL-SF-002-001,PLAYER002,marcus_chen84,ZCT1W-4E5F6G7H,DualSense,2024-04-14T08:00:00Z,0.61,0.10,0.04,84,22.0,82.0,1240.0,33580,6720,10030,3.02,3.02,false,MEDIUM,device_telemetry_api,US,2024-04-14T09:00:00Z
TEL-SF-002-002,PLAYER002,marcus_chen84,ZCT1W-4E5F6G7H,DualSense,2024-04-21T08:00:00Z,0.67,0.11,0.04,82,22.9,84.0,1262.0,34980,6998,10456,3.02,3.02,false,HIGH,device_telemetry_api,US,2024-04-21T09:00:00Z
TEL-SF-002-003,PLAYER002,marcus_chen84,ZCT1W-4E5F6G7H,DualSense,2024-04-28T08:00:00Z,0.71,0.12,0.05,81,23.5,86.0,1285.0,35871,7178,10727,3.02,3.02,false,HIGH,device_telemetry_api,US,2024-04-28T09:00:00Z
TEL-SF-002-004,PLAYER002,marcus_chen84,ZCT1W-4E5F6G7H,DualSense,2024-05-05T08:00:00Z,0.75,0.12,0.05,80,23.8,88.0,1309.0,36322,7268,10861,3.02,3.02,false,HIGH,device_telemetry_api,US,2024-05-05T09:00:00Z
TEL-SF-002-005,PLAYER002,marcus_chen84,ZCT1W-4E5F6G7H,DualSense,2024-05-12T08:00:00Z,0.78,0.13,0.05,79,23.9,91.0,1332.0,36474,7298,10912,3.02,3.02,false,HIGH,device_telemetry_api,US,2024-05-12T09:00:00Z
TEL-SF-002-006,PLAYER002,marcus_chen84,ZCT1W-4E5F6G7H,DualSense,2024-05-19T08:00:00Z,0.82,0.13,0.05,76,24.1,94.0,1356.0,36779,7358,11001,3.02,3.02,false,HIGH,device_telemetry_api,US,2024-05-19T09:00:00Z
TEL-SF-002-007,PLAYER002,marcus_chen84,ZCT1W-4E5F6G7H,DualSense,2024-05-26T08:00:00Z,0.85,0.14,0.06,74,24.4,96.0,1380.0,37236,7451,11138,3.02,3.02,false,HIGH,device_telemetry_api,US,2024-05-26T09:00:00Z
TEL-SF-002-008,PLAYER002,marcus_chen84,ZCT1W-4E5F6G7H,DualSense,2024-06-02T08:00:00Z,0.87,0.14,0.06,72,24.7,98.0,1404.0,37700,7544,11282,3.02,3.02,false,HIGH,device_telemetry_api,US,2024-06-02T09:00:00Z
TEL-SF-003-001,PLAYER003,nina_streams,ZCT1W-8I9J0K1L,DualSense,2024-04-14T08:00:00Z,0.11,0.08,0.18,97,7.2,24.0,88.0,10990,2200,3280,2.98,3.02,true,LOW,device_telemetry_api,US,2024-04-14T09:00:00Z
TEL-SF-003-002,PLAYER003,nina_streams,ZCT1W-8I9J0K1L,DualSense,2024-04-21T08:00:00Z,0.12,0.08,0.25,96,7.5,25.5,95.5,11450,2292,3422,2.98,3.02,true,LOW,device_telemetry_api,US,2024-04-21T09:00:00Z
TEL-SF-003-003,PLAYER003,nina_streams,ZCT1W-8I9J0K1L,DualSense,2024-04-28T08:00:00Z,0.12,0.09,0.31,96,7.1,26.5,102.0,10839,2170,3240,2.98,3.02,true,LOW,device_telemetry_api,US,2024-04-28T09:00:00Z
TEL-SF-003-004,PLAYER003,nina_streams,ZCT1W-8I9J0K1L,DualSense,2024-05-05T08:00:00Z,0.13,0.09,0.36,95,7.3,27.0,109.0,11145,2231,3332,2.98,3.02,true,MEDIUM,device_telemetry_api,US,2024-05-05T09:00:00Z
TEL-SF-003-005,PLAYER003,nina_streams,ZCT1W-8I9J0K1L,DualSense,2024-05-12T08:00:00Z,0.14,0.09,0.42,94,7.0,28.0,117.0,10686,2139,3194,2.98,3.02,true,MEDIUM,device_telemetry_api,US,2024-05-12T09:00:00Z
TEL-SF-003-006,PLAYER003,nina_streams,ZCT1W-8I9J0K1L,DualSense,2024-05-19T08:00:00Z,0.15,0.10,0.55,93,7.2,29.0,124.0,10990,2200,3286,2.98,3.02,true,MEDIUM,device_telemetry_api,US,2024-05-19T09:00:00Z
TEL-SF-003-007,PLAYER003,nina_streams,ZCT1W-8I9J0K1L,DualSense,2024-05-26T08:00:00Z,0.17,0.10,0.68,92,7.3,30.0,131.0,11145,2231,3333,2.98,3.02,true,MEDIUM,device_telemetry_api,US,2024-05-26T09:00:00Z
TEL-SF-003-008,PLAYER003,nina_streams,ZCT1W-8I9J0K1L,DualSense,2024-06-02T08:00:00Z,0.18,0.11,0.76,91,7.1,31.0,138.0,10839,2170,3242,2.98,3.02,true,MEDIUM,device_telemetry_api,US,2024-06-02T09:00:00Z
TEL-SF-004-001,PLAYER004,alex_edge,ZCT2E-2M3N4O5P,DualSense Edge,2024-04-14T08:00:00Z,0.28,0.07,0.07,90,11.0,38.0,192.0,16790,3360,5011,3.02,3.02,false,LOW,device_telemetry_api,US,2024-04-14T09:00:00Z
TEL-SF-004-002,PLAYER004,alex_edge,ZCT2E-2M3N4O5P,DualSense Edge,2024-04-21T08:00:00Z,0.33,0.07,0.08,88,11.4,39.5,203.5,17400,3482,5199,3.02,3.02,false,LOW,device_telemetry_api,US,2024-04-21T09:00:00Z
TEL-SF-004-003,PLAYER004,alex_edge,ZCT2E-2M3N4O5P,DualSense Edge,2024-04-28T08:00:00Z,0.38,0.08,0.08,87,11.2,40.5,214.0,17094,3421,5110,3.02,3.02,false,LOW,device_telemetry_api,US,2024-04-28T09:00:00Z
TEL-SF-004-004,PLAYER004,alex_edge,ZCT2E-2M3N4O5P,DualSense Edge,2024-05-05T08:00:00Z,0.42,0.08,0.09,86,11.5,42.0,225.5,17553,3513,5247,3.02,3.02,false,LOW,device_telemetry_api,US,2024-05-05T09:00:00Z
TEL-SF-004-005,PLAYER004,alex_edge,ZCT2E-2M3N4O5P,DualSense Edge,2024-05-12T08:00:00Z,0.48,0.08,0.09,84,11.3,44.0,236.5,17248,3452,5159,3.02,3.02,false,LOW,device_telemetry_api,US,2024-05-12T09:00:00Z
TEL-SF-004-006,PLAYER004,alex_edge,ZCT2E-2M3N4O5P,DualSense Edge,2024-05-19T08:00:00Z,0.53,0.08,0.10,83,11.6,45.0,247.5,17706,3543,5295,3.02,3.02,false,MEDIUM,device_telemetry_api,US,2024-05-19T09:00:00Z
TEL-SF-004-007,PLAYER004,alex_edge,ZCT2E-2M3N4O5P,DualSense Edge,2024-05-26T08:00:00Z,0.58,0.09,0.10,81,11.5,46.0,258.5,17553,3513,5248,3.02,3.02,false,MEDIUM,device_telemetry_api,US,2024-05-26T09:00:00Z
TEL-SF-004-008,PLAYER004,alex_edge,ZCT2E-2M3N4O5P,DualSense Edge,2024-06-02T08:00:00Z,0.62,0.09,0.11,80,11.4,47.0,269.5,17400,3482,5202,3.02,3.02,false,MEDIUM,device_telemetry_api,US,2024-06-02T09:00:00Z
